Version:          1.14.0.16
Settings:         {"StrayFairyMode":"Default","UpdateShopAppearance":true,"AddSongs":true,"SpeedupLabFish":true,"SmallKeyMode":"Default","BossKeyMode":"Default","UserLogicFileName":"","CloseCows":true,"ArrowCycling":true,"CritWiggleDisable":false,"DrawHash":true,"ElegySpeedup":true,"FastPush":true,"IceTrapQuirks":false,"UpdateWorldModels":true,"OcarinaUnderwater":false,"QuestItemStorage":true,"ContinuousDekuHopping":false,"ProgressiveUpgrades":false,"LogicMode":"Casual","EnabledTricks":[],"RandomizeDungeonEntrances":false,"RandomizeEnemies":false,"StartingItemMode":"Random","CustomItemListString":"1ffff-ffffff80-1c00000---fffe000-7fffffff-ff800000-7fffffff-ffffffff-ff019000-7ffffff-ffffffc3-7a60--fffffff-fe1f7c00-9ffcf-879ff83f-ffffffff-ffffffff-ffffffff-ffffffff-ffffffff-ffffffff-ffdfffff-ffffffff-ffffffff-fe007fff-f06619ff-ffffffff-ffffffff-ffffffff","CustomStartingItemListString":"--1","CustomJunkLocationsString":"--------------------------------","IceTraps":"None","IceTrapAppearance":"MajorItems","DamageMode":"Quadruple","DamageEffect":"Default","MovementMode":"Default","FloorType":"Default","NutandStickDrops":"Default","ClockSpeed":"Default","HideClock":false,"BlastMaskCooldown":"Default","EnableSunsSong":false,"AllowFierceDeityAnywhere":false,"ByoAmmo":false,"DeathMoonCrash":true,"ShortenCutsceneSettings":{"General":"BlastMaskThief, BoatArchery, FishermanGame, MilkBarPerformance, HungryGoron, TatlInterrupts, FasterBankText, EverythingElse","BossIntros":"Odolwa, Goht, Gyorg, Twinmold, Majora, Wart, IgosDuIkana, Gomess"},"QuickTextEnabled":true,"Character":"LinkMM","GossipHintStyle":"Default","FreeHints":false,"ClearHints":false,"PreventDowngrades":true,"UpdateChests":true,"FixEponaSword":true,"EnablePictoboxSubject":true,"SpeedupBeavers":true,"SpeedupDampe":true,"SpeedupDogRace":true,"SpeedupBank":true}
Seed:             30599718

 Location                                              Item

 Misc
Boss Blue Warp                                     -> Green Rupee
Starting Heart Container #1                        -> Mask of Truth
Starting Heart Container #2                        -> Hero's Bow**
Starting Item                                      -> Ice Arrow**
Starting Shield                                    -> Big Bomb Bag**
Starting Song                                      -> Piece of Heart
Starting Sword                                     -> Hookshot**

 South Clock Town
Clock Tower Entrance                               -> Red Rupee
Clock Town Scrub Trade                             -> Piece of Heart
Postbox                                            -> Large Magic Jar
South Clock Town Final Day Chest                   -> Swamp Skulltula Spirit
South Clock Town Straw Roof Chest                  -> Green Rupee

 North Clock Town
Bombers' Hide and Seek                             -> Heart Container
Clock Town Map Purchase                            -> Green Rupee
Deku Playground Any Day                            -> Swamp Skulltula Spirit
Deku Playground Three Days                         -> Large Magic Jar
Keaton Quiz                                        -> Green Rupee
North Clock Town Keaton Grass                      -> Purple Rupee
