Version:          1.14.0.16
Settings:         {"StrayFairyMode":"Default","UpdateShopAppearance":true,"AddSongs":true,"SpeedupLabFish":true,"SmallKeyMode":"Default","BossKeyMode":"Default","UserLogicFileName":"","CloseCows":true,"ArrowCycling":true,"CritWiggleDisable":false,"DrawHash":true,"ElegySpeedup":true,"FastPush":true,"IceTrapQuirks":false,"UpdateWorldModels":true,"OcarinaUnderwater":false,"QuestItemStorage":true,"ContinuousDekuHopping":false,"ProgressiveUpgrades":false,"LogicMode":"Casual","EnabledTricks":[],"RandomizeDungeonEntrances":false,"RandomizeEnemies":false,"StartingItemMode":"Random","CustomItemListString":"1ffff-ffffff80-1c00000----ff-fe000000-7fffffff-ffffffff-ff019000-7ffffff-ffffffc3-7a60--fffffff-fe1f7c00-9ffcf-879ff83f-ffffffff-ffffffff-ffffffff-ffffffff-ffffffff-ffffffff-ffdfffff-ffffffff-ffffffff-fe007fff-ffffffff-ffffffff-ffffffff-ffffffff","CustomStartingItemListString":"--1","CustomJunkLocationsString":"--------------------------------","IceTraps":"None","IceTrapAppearance":"MajorItems","DamageMode":"Doom","DamageEffect":"Default","MovementMode":"Default","FloorType":"Default","NutandStickDrops":"Default","ClockSpeed":"Default","HideClock":false,"BlastMaskCooldown":"Default","EnableSunsSong":false,"AllowFierceDeityAnywhere":false,"ByoAmmo":false,"DeathMoonCrash":true,"ShortenCutsceneSettings":{"General":"BlastMaskThief, BoatArchery, FishermanGame, MilkBarPerformance, HungryGoron, TatlInterrupts, FasterBankText, EverythingElse","BossIntros":"Odolwa, Goht, Gyorg, Twinmold, Majora, Wart, IgosDuIkana, Gomess"},"QuickTextEnabled":true,"Character":"LinkMM","GossipHintStyle":"Default","FreeHints":false,"ClearHints":false,"PreventDowngrades":true,"UpdateChests":true,"FixEponaSword":true,"EnablePictoboxSubject":true,"SpeedupBeavers":true,"SpeedupDampe":true,"SpeedupDogRace":true,"SpeedupBank":true}
Seed:             23975062

 Location                                              Item

 Misc
Boss Blue Warp                                     -> Ocean Skulltula Spirit
Starting Heart Container #1                        -> Piece of Heart
Starting Heart Container #2                        -> Oath to Order**
Starting Item                                      -> Light Arrow**
Starting Shield                                    -> Adult Wallet
Starting Song                                      -> Piece of Heart
Starting Sword                                     -> Hookshot**

 South Clock Town
Clock Tower Entrance                               -> Blue Rupee
Clock Town Scrub Trade                             -> Milk
Postbox                                            -> Swamp Skulltula Spirit
South Clock Town Final Day Chest                   -> Great Bay Stray Fairy
South Clock Town Straw Roof Chest                  -> Zora Mask**

 North Clock Town
Bombers' Hide and Seek                             -> Green Rupee
Clock Town Map Purchase                            -> Milk
Deku Playground Any Day                            -> Green Rupee
Deku Playground Three Days                         -> Green Rupee
Keaton Quiz                                        -> Red Rupee
North Clock Town Keaton Grass                      -> 10 Bombs
North Clock Town Keaton Grass 2                    -> Piece of Heart
North Clock Town Keaton Grass 3                    -> Large Magic Jar
North Clock Town Keaton Grass 4                    -> Small Magic Jar
North Clock Town Keaton Grass 5                    -> 30 Arrows
North Clock Town Keaton Grass 6                    -> Small Magic Jar
North Clock Town Keaton Grass 7                    -> Ice Arrow**
North Clock Town Keaton Grass 8                    -> Red Rupee
North Clock Town Keaton Grass 9                    -> Blue Rupee
North Clock Town Tree                              -> Blue Rupee
Old Lady                                           -> Green Rupee
Town Great Fairy                                   -> Green Rupee
Town Great Fairy Non-Human                         -> Large Magic Jar

 East Clock Town
Bombers' Hideout Chest                             -> Red Rupee
East Clock Town Chest                              -> Powder Keg**
East Clock Town Crate                              -> Piece of Heart
Gorman                                             -> Piece of Heart
Honey and Darling Any Day                          -> Purple Rupee
Honey and Darling Three Days                       -> Purple Rupee
Madame Aroma in Bar                                -> Elegy of Emptiness**
Madame Aroma in Office                             -> Small Magic Jar
Mayor                                              -> Goron Mask**
Milk Bar Chateau                                   -> 10 Arrows
Milk Bar Milk                                      -> Red Rupee
Observatory Balloon Pot                            -> Silver Rupee
Observatory Balloon Pot 2                          -> Mask of Truth
Observatory Scarecrow Pot                          -> Ocean Skulltula Spirit
Observatory Scarecrow Pot 2                        -> Ocean Skulltula Spirit
Observatory Scarecrow Pot 3                        -> Small Magic Jar
Postman's Freedom Reward                           -> Ocean Skulltula Spirit
Town Archery #1                                    -> Small Magic Jar
Town Archery #2                                    -> Large Magic Jar
Treasure Chest Game Deku                           -> Blue Rupee
Treasure Chest Game Goron                          -> Small Magic Jar
Treasure Chest Game Human                          -> Milk
Treasure Chest Game Zora                           -> 10 Deku Nuts

 Stock Pot Inn
Anju and Kafei                                     -> Blue Rupee
Grandma Long Story                                 -> 10 Arrows
Grandma Short Story                                -> 10 Deku Nuts
Inn Guest Room Chest                               -> Bremen Mask
Inn Reservation                                    -> Ocean Skulltula Spirit
Inn Staff Room Chest                               -> 5 Bombs
Midnight Meeting                                   -> Small Magic Jar
Toilet Hand                                        -> Blue Rupee

 West Clock Town
All-Night Mask Purchase                            -> 10 Arrows
Bank Reward #1                                     -> Empty Bottle**
Bank Reward #2                                     -> Piece of Heart
Bank Reward #3                                     -> Large Magic Jar
Big Bomb Bag Purchase                              -> Piece of Heart
Bomb Bag Purchase                                  -> Blue Rupee
Bomb Shop 10 Bombchu                               -> Piece of Heart
Bomb Shop 10 Bombs                                 -> Hero's Shield
Curiosity Shop Blue Rupee                          -> Red Rupee
Curiosity Shop Gold Rupee                          -> Red Rupee
Curiosity Shop Purple Rupee                        -> Snowhead Stray Fairy
Curiosity Shop Red Rupee                           -> Pendant of Memories
Lottery                                            -> Piece of Heart
Postman's Game                                     -> Small Magic Jar
Rosa Sisters                                       -> Woodfall Stray Fairy
Swordsman's School                                 -> Green Rupee
Swordsman's School Pot                             -> Stone Tower Stray Fairy
Swordsman's School Pot 2                           -> Woodfall Stray Fairy
Swordsman's School Pot 3                           -> Stone Tower Stray Fairy
Swordsman's School Pot 4                           -> 10 Arrows
Swordsman's School Pot 5                           -> Chateau Romani
Trading Post 10 Deku Nuts                          -> Green Potion
Trading Post 30 Arrows                             -> Swamp Skulltula Spirit
Trading Post 50 Arrows                             -> Blue Rupee
Trading Post Deku Stick                            -> Small Magic Jar
Trading Post Fairy                                 -> Ocean Skulltula Spirit
Trading Post Green Potion                          -> Piece of Heart
Trading Post Hero's Shield                         -> Ocean Skulltula Spirit
Trading Post Red Potion                            -> Red Rupee

 Laundry Pool
Clock Town Stray Fairy                             -> Small Magic Jar
Curiosity Shop Man #1                              -> 5 Bombs
Curiosity Shop Man #2                              -> Woodfall Stray Fairy
Guru Guru                                          -> Large Magic Jar
Kafei                                              -> Silver Rupee
Laundry Pool Crate                                 -> Small Magic Jar

 Termina Field
Astronomy Telescope                                -> Small Magic Jar
Bio Baba Grotto                                    -> Large Magic Jar
Bio Baba Grotto Hive                               -> Woodfall Map
Business Scrub Purchase                            -> Red Rupee
Dodongo Grotto                                     -> Milk
Gossip Stones                                      -> Stone Mask
Kamaro                                             -> Green Rupee
Peahat Grotto                                      -> Snowhead Stray Fairy
Takkuri                                            -> 30 Arrows
Termina Field Grass Chest                          -> Map of Great Bay
Termina Field Grass Grotto                         -> Small Magic Jar
Termina Field Observatory Soft Soil                -> 10 Arrows
Termina Field Pillar Grotto                        -> Small Magic Jar
Termina Field Pillar Soft Soil                     -> Large Magic Jar
Termina Field South Wall Soft Soil                 -> Deku Stick
Termina Field Stump Chest                          -> Stone Tower Stray Fairy
Termina Field Stump Soft Soil                      -> Large Magic Jar
Termina Field Underwater Chest                     -> Extended Magic Power*
Termina Grotto Cow #1                              -> Milk
Termina Grotto Cow #2                              -> Swamp Skulltula Spirit

 Road to Southern Swamp
Path to Swamp Grotto                               -> Swamp Skulltula Spirit
Path to Swamp Tree                                 -> Small Magic Jar
Snowhead Map Purchase                              -> Small Magic Jar
Swamp Archery #1                                   -> Small Magic Jar
Swamp Archery #2                                   -> Purple Rupee
Woodfall Map Purchase                              -> Large Magic Jar

 Southern Swamp
Boat Archery                                       -> 30 Arrows
